0|clever comedy dialogue funny good soundtrack great ending original story storytelling talky very funny vengeance brutality drama gangster gangsters great acting hitman los angeles multiple storylines murder stylish twists & turns dark humor unusual plot structure black comedy dark comedy hotel nocturnal off-beat comedy tarantino twist twist ending weird
1|bullying catastrophe childhood destiny feel-good friendship good good soundtrack happy ending kids mentor original touching unlikely friendships based on a book jungle stereotypes drama gangsters based on true story life philosophy death social commentary teen teen movie educational high school hip hop inspirational inspiring life poetry school teacher
2|action chase cool destiny dialogue entertaining fantasy fun fun movie good good action good soundtrack great ending mentor original story adaptation bad cgi based on a video game big budget computer game pg-13 special effects video game vengeance predictable action packed awesome soundtrack brutality fight scenes stylized violence fighting video game adaptation franchise silly fun goofy so bad it's funny island bad plot adapted from:game cheesy dragons immortality kung fu martial arts mythology ninja video games videogame
3|based on book excellent excellent script good good soundtrack great great ending greed imdb top 250 masterpiece mentor original oscar oscar (best directing) redemption storytelling touching adaptation based on a book vengeance sentimental brutality character study complex corruption crime drama dramatic exceptional acting good acting great acting harsh honest intense justice melancholic moral ambiguity murder police investigation powerful ending realistic revenge violent adapted from:book manipulation based on true story true story controversial tragedy brutal oscar (best actress) emotional heartbreaking oscar (best supporting actress) prejudice humanity life & death poignant thought-provoking death intimate pornography sad sexualized violence social commentary reflective catholicism compassionate court courtroom death penalty guilt lawyer lawyers morality movielens top pick oscar (best picture) prison rape
4|affectionate destiny friendship great great ending great movie imdb top 250 masterpiece mentor original simple storytelling touching unlikely friendships romance love relationships romantic sentimental cinematography enigmatic great acting loneliness melancholic solitude love story island visually appealing beautiful scenery beautifully filmed emotional literature oscar (best supporting actress) passionate bittersweet life & death life philosophy intimate melancholy artistic beautiful breathtaking foreign great cinematography reflective oscar (best foreign language film) scenic poetry italy lyrical
5|adventure animal movie animals animated animation cartoon childhood children cute destiny disney disney animated feature family fun good good soundtrack good versus evil great greed happy ending kids kids and family mentor nostalgic original story romance girlie movie romantic stereotypes love story culture clash based on true story talking animals true story historical fairy tale scenic indians musical native americans oscar (best music - original song)
6|based on book clever cool dialogue entertaining excellent excellent script fast paced good good soundtrack great great ending great movie greed highly quotable imdb top 250 interesting masterpiece mentor original original plot oscar oscar (best directing) quotable redemption story storytelling suprisingly clever talky very good based on a book vengeance awesome soundtrack betrayal brutality character study cinematography complex complicated corruption crime crime gone awry drama dramatic entirely dialogue exceptional acting gangster gangsters good acting good dialogue gratuitous violence great acting great dialogue gritty harsh hit men hitman intense long mob narrated neo-noir obsession organized crime plot powerful ending realistic stylish stylized suspense tense twists & turns violence violent visceral based on true story based on a true story 1970s anti-hero bloody brutal casino con artists cult classic dark humor drug abuse drugs foul language gambling good music gory great soundtrack las vegas mafia nudity (topless - brief) oscar (best actress) oscar (best supporting actor) poker rags to riches underrated unusual plot structure very interesting
7|action catastrophe chase cool dialogue fast paced fun movie good good action mentor original big budget special effects gunfight vengeance predictable action packed awesome soundtrack betrayal fight scenes lone hero suspense thriller violence weapons explosions car chase silly fun natural disaster sacrifice desert military
8|adventure based on book childhood children disney family friendship mentor nostalgic original runaway story adaptation based on a book girlie movie adapted from:book book book was better books literary adaptation
9|original runaway brutality beautifully filmed life & death independent film slavery
